Model,Loss,Aiming,Coverage,Accuracy,Absolute_True,Absolute_False,Runtime,Timestamp
model_select+TextCNN,FocalDiceLoss+ResampleLoss,0.762,0.719,0.707,0.652,0.032,55.630,2025-03-17 14:19:01
Model,Class,TP,FP,TN,FN
AAP,4,3,1948,14
ABP,331,80,1470,88
ACP,94,37,1739,99
ACVP,10,1,1940,18
ADP,31,28,1832,78
AEP,0,0,1959,10
AFP,137,37,1659,136
AHIVP,0,2,1948,19
AHP,153,50,1734,32
AIP,403,133,1411,22
AMRSAP,0,0,1948,21
APP,22,7,1901,39
ATP,33,15,1894,27
AVP,86,17,1809,57
BBP,7,2,1942,18
BIP,37,12,1897,23
CPP,59,24,1852,34
DPPIP,28,25,1881,35
QSP,38,4,1916,11
SBP,9,5,1949,6
THP,89,34,1815,31
